transmission_power,num_users,avg_djscc_accuracy,avg_ldpc_accuracy,avg_adaptive_accuracy,network_aomi_djscc,network_aomi_ldpc,network_aomi_adaptive,user_details
1,5,0.7001800060272216,0.24,0.7001800060272216,1.5504395384016079,66.2070889540567,1.5504395384016079,"[{'user_id': 1, 'transmission_power': 1, 'elevation_angle': 34.9816047538945, 'rain_rate': 23.77278622960691, 'base_snr_db': -7.662648491111465, 'snr_db': -5.0, 'fading_gain': 1.0321369163639942, 'djscc_accuracy': 0.6933000087738037, 'ldpc_accuracy': 0.0, 'adaptive_accuracy': 0.6933000087738037, 'adaptive_method': 'DJSCC'}, {'user_id': 2, 'transmission_power': 1, 'elevation_angle': 48.32290311184182, 'rain_rate': 0.6125539079654809, 'base_snr_db': 6.265438384106855, 'snr_db': 5.598276306437345, 'fading_gain': 0.926065907250009, 'djscc_accuracy': 0.7092999815940857, 'ldpc_accuracy': 0.6, 'adaptive_accuracy': 0.7092999815940857, 'adaptive_method': 'DJSCC'}, {'user_id': 3, 'transmission_power': 1, 'elevation_angle': 32.169689718381505, 'rain_rate': 13.166435147642721, 'base_snr_db': -3.6083265438565544, 'snr_db': -4.867078797305649, 'fading_gain': 0.8650921821850889, 'djscc_accuracy': 0.6937000155448914, 'ldpc_accuracy': 0.0, 'adaptive_accuracy': 0.6937000155448914, 'adaptive_method': 'DJSCC'}, {'user_id': 4, 'transmission_power': 1, 'elevation_angle': 34.65447373174767, 'rain_rate': 11.456142607004194, 'base_snr_db': -2.8117509362206867, 'snr_db': -3.826527362567338, 'fading_gain': 0.8897360319159016, 'djscc_accuracy': 0.6958000063896179, 'ldpc_accuracy': 0.0, 'adaptive_accuracy': 0.6958000063896179, 'adaptive_method': 'DJSCC'}, {'user_id': 5, 'transmission_power': 1, 'elevation_angle': 44.30179407605753, 'rain_rate': 4.346050679813558, 'base_snr_db': 7.4567398632172175, 'snr_db': 5.0342286219548065, 'fading_gain': 0.756614113139828, 'djscc_accuracy': 0.7088000178337097, 'ldpc_accuracy': 0.6, 'adaptive_accuracy': 0.7088000178337097, 'adaptive_method': 'DJSCC'}]"
2,5,0.7043799996376038,0.24,0.6602200055122376,1.541172264528693,66.2070889540567,1.6604647453052768,"[{'user_id': 1, 'transmission_power': 2, 'elevation_angle': 34.9816047538945, 'rain_rate': 23.77278622960691, 'base_snr_db': -4.652348534471654, 'snr_db': -4.37760230032854, 'fading_gain': 1.0321369163639942, 'djscc_accuracy': 0.6947000026702881, 'ldpc_accuracy': 0.0, 'adaptive_accuracy': 0.6947000026702881, 'adaptive_method': 'DJSCC'}, {'user_id': 2, 'transmission_power': 2, 'elevation_angle': 48.32290311184182, 'rain_rate': 0.6125539079654809, 'base_snr_db': 9.275738340746667, 'snr_db': 8.608576263077158, 'fading_gain': 0.926065907250009, 'djscc_accuracy': 0.7103999853134155, 'ldpc_accuracy': 0.6, 'adaptive_accuracy': 0.6, 'adaptive_method': 'LDPC+BPG'}, {'user_id': 3, 'transmission_power': 2, 'elevation_angle': 32.169689718381505, 'rain_rate': 13.166435147642721, 'base_snr_db': -0.5980265872167421, 'snr_db': -1.8567788406658376, 'fading_gain': 0.8650921821850889, 'djscc_accuracy': 0.7019000053405762, 'ldpc_accuracy': 0.0, 'adaptive_accuracy': 0.7019000053405762, 'adaptive_method': 'DJSCC'}, {'user_id': 4, 'transmission_power': 2, 'elevation_angle': 34.65447373174767, 'rain_rate': 11.456142607004194, 'base_snr_db': 0.19854902041912512, 'snr_db': -0.8162274059275259, 'fading_gain': 0.8897360319159016, 'djscc_accuracy': 0.7045000195503235, 'ldpc_accuracy': 0.0, 'adaptive_accuracy': 0.7045000195503235, 'adaptive_method': 'DJSCC'}, {'user_id': 5, 'transmission_power': 2, 'elevation_angle': 44.30179407605753, 'rain_rate': 4.346050679813558, 'base_snr_db': 10.467039819857028, 'snr_db': 8.044528578594619, 'fading_gain': 0.756614113139828, 'djscc_accuracy': 0.7103999853134155, 'ldpc_accuracy': 0.6, 'adaptive_accuracy': 0.6, 'adaptive_method': 'LDPC+BPG'}]"
4,5,0.7075600147247314,0.24,0.6638400101661682,1.5341834177662566,66.2070889540567,1.6525317918457234,"[{'user_id': 1, 'transmission_power': 4, 'elevation_angle': 34.9816047538945, 'rain_rate': 23.77278622960691, 'base_snr_db': -1.6420485778318423, 'snr_db': -1.3673023436887286, 'fading_gain': 1.0321369163639942, 'djscc_accuracy': 0.7031000256538391, 'ldpc_accuracy': 0.0, 'adaptive_accuracy': 0.7031000256538391, 'adaptive_method': 'DJSCC'}, {'user_id': 2, 'transmission_power': 4, 'elevation_angle': 48.32290311184182, 'rain_rate': 0.6125539079654809, 'base_snr_db': 12.28603829738648, 'snr_db': 11.61887621971697, 'fading_gain': 0.926065907250009, 'djscc_accuracy': 0.7093999981880188, 'ldpc_accuracy': 0.6, 'adaptive_accuracy': 0.6, 'adaptive_method': 'LDPC+BPG'}, {'user_id': 3, 'transmission_power': 4, 'elevation_angle': 32.169689718381505, 'rain_rate': 13.166435147642721, 'base_snr_db': 2.41227336942307, 'snr_db': 1.1535211159739744, 'fading_gain': 0.8650921821850889, 'djscc_accuracy': 0.7073000073432922, 'ldpc_accuracy': 0.0, 'adaptive_accuracy': 0.7073000073432922, 'adaptive_method': 'DJSCC'}, {'user_id': 4, 'transmission_power': 4, 'elevation_angle': 34.65447373174767, 'rain_rate': 11.456142607004194, 'base_snr_db': 3.2088489770589375, 'snr_db': 2.194072550712286, 'fading_gain': 0.8897360319159016, 'djscc_accuracy': 0.7088000178337097, 'ldpc_accuracy': 0.0, 'adaptive_accuracy': 0.7088000178337097, 'adaptive_method': 'DJSCC'}, {'user_id': 5, 'transmission_power': 4, 'elevation_angle': 44.30179407605753, 'rain_rate': 4.346050679813558, 'base_snr_db': 13.47733977649684, 'snr_db': 11.054828535234432, 'fading_gain': 0.756614113139828, 'djscc_accuracy': 0.7092000246047974, 'ldpc_accuracy': 0.6, 'adaptive_accuracy': 0.6, 'adaptive_method': 'LDPC+BPG'}]"
5,5,0.708459997177124,0.34,0.6645399951934815,1.5322346389753947,44.8195689540567,1.6510125143670442,"[{'user_id': 1, 'transmission_power': 5, 'elevation_angle': 34.9816047538945, 'rain_rate': 23.77278622960691, 'base_snr_db': -0.6729484477512786, 'snr_db': -0.3982022136081647, 'fading_gain': 1.0321369163639942, 'djscc_accuracy': 0.7050999999046326, 'ldpc_accuracy': 0.0, 'adaptive_accuracy': 0.7050999999046326, 'adaptive_method': 'DJSCC'}, {'user_id': 2, 'transmission_power': 5, 'elevation_angle': 48.32290311184182, 'rain_rate': 0.6125539079654809, 'base_snr_db': 13.255138427467044, 'snr_db': 12.587976349797534, 'fading_gain': 0.926065907250009, 'djscc_accuracy': 0.7099000215530396, 'ldpc_accuracy': 0.6, 'adaptive_accuracy': 0.6, 'adaptive_method': 'LDPC+BPG'}, {'user_id': 3, 'transmission_power': 5, 'elevation_angle': 32.169689718381505, 'rain_rate': 13.166435147642721, 'base_snr_db': 3.381373499503634, 'snr_db': 2.1226212460545386, 'fading_gain': 0.8650921821850889, 'djscc_accuracy': 0.7085999846458435, 'ldpc_accuracy': 0.0, 'adaptive_accuracy': 0.7085999846458435, 'adaptive_method': 'DJSCC'}, {'user_id': 4, 'transmission_power': 5, 'elevation_angle': 34.65447373174767, 'rain_rate': 11.456142607004194, 'base_snr_db': 4.177949107139501, 'snr_db': 3.1631726807928495, 'fading_gain': 0.8897360319159016, 'djscc_accuracy': 0.7089999914169312, 'ldpc_accuracy': 0.5, 'adaptive_accuracy': 0.7089999914169312, 'adaptive_method': 'DJSCC'}, {'user_id': 5, 'transmission_power': 5, 'elevation_angle': 44.30179407605753, 'rain_rate': 4.346050679813558, 'base_snr_db': 14.446439906577407, 'snr_db': 12.023928665314996, 'fading_gain': 0.756614113139828, 'djscc_accuracy': 0.7096999883651733, 'ldpc_accuracy': 0.6, 'adaptive_accuracy': 0.6, 'adaptive_method': 'LDPC+BPG'}]"
