user_id,orbit_height_km,transmission_power,elevation_angle,rain_rate,base_snr_db,snr_db,fading_gain,djscc_accuracy,ldpc_accuracy
1,400.0,0.1,34.9816047538945,23.77278622960691,-14.338832538797437,-5.0,1.0321369163639942,0.6665624976158142,0.0
2,400.0,0.1,48.32290311184182,0.6125539079654809,-0.29858783546644896,-0.9657499131359586,0.926065907250009,0.6903125047683716,0.0
3,400.0,0.1,32.169689718381505,13.166435147642721,-10.322100099313221,-5.0,0.8650921821850889,0.6665624976158142,0.0
1,400.0,1.0,34.9816047538945,23.77278622960691,-4.338832538797438,-4.0640863046543245,1.0321369163639942,0.6732812523841858,0.0
2,400.0,1.0,48.32290311184182,0.6125539079654809,9.70141216453355,9.034250086864041,0.926065907250009,0.6996874809265137,0.6
3,400.0,1.0,32.169689718381505,13.166435147642721,-0.32210009931322087,-1.580852352762316,0.8650921821850889,0.686718761920929,0.0
1,400.0,5.0,34.9816047538945,23.77278622960691,2.6508675045627506,2.9256137387058647,1.0321369163639942,0.6948437690734863,0.0
2,400.0,5.0,48.32290311184182,0.6125539079654809,16.691112207893738,16.02395013022423,0.926065907250009,0.7004687786102295,0.6
3,400.0,5.0,32.169689718381505,13.166435147642721,6.667599944046968,5.408847690597872,0.8650921821850889,0.6981250047683716,0.6
1,400.0,7.0,34.9816047538945,23.77278622960691,4.1121478613451306,4.386894095488245,1.0321369163639942,0.6970312595367432,0.6
2,400.0,7.0,48.32290311184182,0.6125539079654809,18.15239256467612,17.48523048700661,0.926065907250009,0.7007812261581421,0.6
3,400.0,7.0,32.169689718381505,13.166435147642721,8.128880300829348,6.870128047380253,0.8650921821850889,0.6979687213897705,0.6
1,400.0,10.0,34.9816047538945,23.77278622960691,5.661167461202562,5.9359136953456755,1.0321369163639942,0.6982812285423279,0.6
2,400.0,10.0,48.32290311184182,0.6125539079654809,19.70141216453355,19.03425008686404,0.926065907250009,0.7007812261581421,0.6
3,400.0,10.0,32.169689718381505,13.166435147642721,9.677899900686779,8.419147647237683,0.8650921821850889,0.69921875,0.6
1,400.0,50.0,34.9816047538945,23.77278622960691,12.65086750456275,12.925613738705866,1.0321369163639942,0.6995312571525574,0.6
2,400.0,50.0,48.32290311184182,0.6125539079654809,26.691112207893738,20.0,0.926065907250009,0.7009375095367432,0.6
3,400.0,50.0,32.169689718381505,13.166435147642721,16.667599944046966,15.40884769059787,0.8650921821850889,0.7003124952316284,0.6
1,400.0,75.0,34.9816047538945,23.77278622960691,14.411780095119564,14.686526329262676,1.0321369163639942,0.6995312571525574,0.6
2,400.0,75.0,48.32290311184182,0.6125539079654809,28.45202479845055,20.0,0.926065907250009,0.7009375095367432,0.6
3,400.0,75.0,32.169689718381505,13.166435147642721,18.42851253460378,17.169760281154684,0.8650921821850889,0.7006250023841858,0.6
1,400.0,100.0,34.9816047538945,23.77278622960691,15.661167461202563,15.935913695345675,1.0321369163639942,0.7006250023841858,0.6
2,400.0,100.0,48.32290311184182,0.6125539079654809,29.70141216453355,20.0,0.926065907250009,0.7009375095367432,0.6
3,400.0,100.0,32.169689718381505,13.166435147642721,19.67789990068678,18.419147647237683,0.8650921821850889,0.7007812261581421,0.6
1,600.0,0.1,34.9816047538945,23.77278622960691,-17.662648491111465,-5.0,1.0321369163639942,0.6665624976158142,0.0
2,600.0,0.1,48.32290311184182,0.6125539079654809,-3.7345616158931447,-4.401723693562655,0.926065907250009,0.671093761920929,0.0
