orbit_height_km,transmission_power_W,num_users,djscc_aomi,ldpc_aomi
400.0,0.1,3,1.548259681751522,105.28264802431612
400.0,1.0,3,1.5210026270299162,70.77420357987167
400.0,5.0,3,1.496157198894866,36.265759135427224
400.0,7.0,3,1.494477481974199,1.7573146909827762
400.0,10.0,3,1.4926944714134296,1.7573146909827762
400.0,50.0,3,1.4909179344878443,1.7573146909827762
400.0,75.0,3,1.490696542335277,1.7573146909827762
400.0,100.0,3,1.4898102246225005,1.7573146909827762
600.0,0.1,3,1.5626800317438712,105.28264802431612
600.0,1.0,3,1.5414258175681057,70.77420357987167
600.0,5.0,3,1.5022241366434226,70.77420357987167
600.0,7.0,3,1.4988372823915614,36.265759135427224
600.0,10.0,3,1.496603464077045,36.265759135427224
600.0,50.0,3,1.4918053832218543,1.7573146909827762
600.0,75.0,3,1.4923610042641926,1.7573146909827762
600.0,100.0,3,1.4912503722912787,1.7573146909827762
1000.0,0.1,3,1.5662011051993947,105.28264802431612
1000.0,1.0,3,1.5457646496784687,105.28264802431612
1000.0,5.0,3,1.5236110364734816,70.77420357987167
1000.0,7.0,3,1.513023901539649,70.77420357987167
1000.0,10.0,3,1.5056358624753743,70.77420357987167
1000.0,50.0,3,1.4933619269508558,1.7573146909827762
1000.0,75.0,3,1.4924722916752924,1.7573146909827762
1000.0,100.0,3,1.4920278232623374,1.7573146909827762
