orbit_height_km,transmission_power,num_users,avg_djscc_accuracy,avg_ldpc_accuracy,network_aomi_djscc,network_aomi_ldpc,compliance_ratio_djscc,compliance_ratio_ldpc
400.0,0.1,3,0.6744791666666666,0.0,1.548259681751522,105.28264802431612,1.0,0.0
400.0,1.0,3,0.6865624984105428,0.19999999999999998,1.5210026270299162,70.77420357987167,1.0,0.3333333333333333
400.0,5.0,3,0.6978125174840292,0.39999999999999997,1.496157198894866,36.265759135427224,1.0,0.6666666666666666
400.0,7.0,3,0.6985937356948853,0.6,1.494477481974199,1.7573146909827762,1.0,1.0
400.0,10.0,3,0.69942706823349,0.6,1.4926944714134296,1.7573146909827762,1.0,1.0
400.0,50.0,3,0.7002604206403097,0.6,1.4909179344878443,1.7573146909827762,1.0,1.0
400.0,75.0,3,0.7003645896911621,0.6,1.490696542335277,1.7573146909827762,1.0,1.0
400.0,100.0,3,0.700781246026357,0.6,1.4898102246225005,1.7573146909827762,1.0,1.0
600.0,0.1,3,0.6680729190508524,0.0,1.5626800317438712,105.28264802431612,1.0,0.0
600.0,1.0,3,0.6776041785875956,0.19999999999999998,1.5414258175681057,70.77420357987167,1.0,0.3333333333333333
600.0,5.0,3,0.6949999928474426,0.19999999999999998,1.5022241366434226,70.77420357987167,1.0,0.3333333333333333
600.0,7.0,3,0.6965624888737997,0.39999999999999997,1.4988372823915614,36.265759135427224,1.0,0.6666666666666666
600.0,10.0,3,0.6976041595141093,0.39999999999999997,1.496603464077045,36.265759135427224,1.0,0.6666666666666666
600.0,50.0,3,0.6998437444368998,0.6,1.4918053832218543,1.7573146909827762,1.0,1.0
600.0,75.0,3,0.6995833516120911,0.6,1.4923610042641926,1.7573146909827762,1.0,1.0
600.0,100.0,3,0.7001041769981384,0.6,1.4912503722912787,1.7573146909827762,1.0,1.0
1000.0,0.1,3,0.6665624976158142,0.0,1.5662011051993947,105.28264802431612,1.0,0.0
1000.0,1.0,3,0.6756250063578287,0.0,1.5457646496784687,105.28264802431612,1.0,0.0
1000.0,5.0,3,0.6854166587193807,0.19999999999999998,1.5236110364734816,70.77420357987167,1.0,0.3333333333333333
1000.0,7.0,3,0.6901041666666666,0.19999999999999998,1.513023901539649,70.77420357987167,1.0,0.3333333333333333
1000.0,10.0,3,0.6934374968210856,0.19999999999999998,1.5056358624753743,70.77420357987167,1.0,0.3333333333333333
1000.0,50.0,3,0.6991145809491476,0.6,1.4933619269508558,1.7573146909827762,1.0,1.0
1000.0,75.0,3,0.6995312571525574,0.6,1.4924722916752924,1.7573146909827762,1.0,1.0
1000.0,100.0,3,0.6997395952542623,0.6,1.4920278232623374,1.7573146909827762,1.0,1.0
